full_name,contributor,commit
facebookresearch/audiocraft,adefossez,66
facebookresearch/audiocraft,syhw,3
facebookresearch/audiocraft,ashleykleynhans,1
facebookresearch/audiocraft,felixkreuk,1
facebookresearch/audiocraft,jamierpond,1
facebookresearch/audiocraft,JonathanFly,1
facebookresearch/audiocraft,patrickvonplaten,1
facebookresearch/audiocraft,radames,1
facebookresearch/audiocraft,sanchit-gandhi,1
facebookresearch/audiocraft,sungeuns,1
facebookresearch/audiocraft,mimbres,1
THUDM/ChatGLM2-6B,duzx16,34
THUDM/ChatGLM2-6B,qinjx,6
THUDM/ChatGLM2-6B,hiyouga,3
THUDM/ChatGLM2-6B,Stanislas0,2
THUDM/ChatGLM2-6B,eltociear,1
THUDM/ChatGLM2-6B,Yidadaa,1
THUDM/ChatGLM2-6B,li-plus,1
THUDM/ChatGLM2-6B,mougua,1
0xpayne/gpt-migrate,0xpayne,51
0xpayne/gpt-migrate,MkuuWaUjinga,2
CASIA-IVA-Lab/FastSAM,zxDeepDiver,37
CASIA-IVA-Lab/FastSAM,an-yongqi,27
CASIA-IVA-Lab/FastSAM,YinglongDu,24
CASIA-IVA-Lab/FastSAM,berry-ding,16
CASIA-IVA-Lab/FastSAM,tianjinren,13
CASIA-IVA-Lab/FastSAM,chenxwh,2
CASIA-IVA-Lab/FastSAM,colinator,2
CASIA-IVA-Lab/FastSAM,msanov,2
CASIA-IVA-Lab/FastSAM,vietanhdev,2
CASIA-IVA-Lab/FastSAM,gaoxinge,2
CASIA-IVA-Lab/FastSAM,riyanswat,2
CASIA-IVA-Lab/FastSAM,bala-az,1
CASIA-IVA-Lab/FastSAM,jobinsjohn,1
CASIA-IVA-Lab/FastSAM,laclouis5,1
CASIA-IVA-Lab/FastSAM,artyaltanzaya,1
CASIA-IVA-Lab/FastSAM,zhaochunhai,1
CASIA-IVA-Lab/FastSAM,ivaopenlab,1
baichuan-inc/baichuan-7B,GradientGuru,40
baichuan-inc/baichuan-7B,bc-gpd,7
baichuan-inc/baichuan-7B,s-JoL,3
baichuan-inc/baichuan-7B,benywon,2
baichuan-inc/baichuan-7B,XuehaiPan,1
baichuan-inc/baichuan-7B,zmsn-2077,1
princeton-vl/infinigen,pvl-bot,531
princeton-vl/infinigen,araistrick,266
princeton-vl/infinigen,mazeyu,166
princeton-vl/infinigen,lahavlipson,151
princeton-vl/infinigen,JerryLingjieMei,135
princeton-vl/infinigen,MemorySlices,62
princeton-vl/infinigen,zuoym15,58
princeton-vl/infinigen,mingzhew,36
princeton-vl/infinigen,Hermera,18
princeton-vl/infinigen,heilaw,16
princeton-vl/infinigen,imankgoyal,10
princeton-vl/infinigen,jiadeng,10
princeton-vl/infinigen,David-Yan1,2
princeton-vl/infinigen,jordanhubbard,1
princeton-vl/infinigen,yangky11,1
princeton-vl/infinigen,soneymathew,1
Licoy/ChatGPT-Midjourney,Licoy,93
Licoy/ChatGPT-Midjourney,MichaelYuhe,2
Licoy/ChatGPT-Midjourney,ZHtwinkle,2
Licoy/ChatGPT-Midjourney,ezioruan,2
Licoy/ChatGPT-Midjourney,AI-Chef,1
Licoy/ChatGPT-Midjourney,eltociear,1
chat2db/Chat2DB,chat2db-jerry,83
chat2db/Chat2DB,shanhexi,48
chat2db/Chat2DB,robinji0,44
chat2db/Chat2DB,jipengfei-jpf,43
chat2db/Chat2DB,fanjinyu-fjy,27
chat2db/Chat2DB,chenxian01,11
chat2db/Chat2DB,zhuangjiaju,5
chat2db/Chat2DB,dangdang01234,2
chat2db/Chat2DB,AobingJava,1
embedchain/embedchain,taranjeet,73
embedchain/embedchain,cachho,21
embedchain/embedchain,sahilyadav902,4
embedchain/embedchain,gasolin,2
embedchain/embedchain,ianupamsingh,1
embedchain/embedchain,satya131113,1
embedchain/embedchain,Harin329,1
embedchain/embedchain,jesse-c,1
embedchain/embedchain,Pecunia201,1
embedchain/embedchain,mark-watson,1
embedchain/embedchain,mrbusche,1
embedchain/embedchain,1MikeMakuch,1
embedchain/embedchain,rohitgr7,1
embedchain/embedchain,DumoeDss,1
embedchain/embedchain,TommyZihao,1
embedchain/embedchain,aaishikdutta,1
embedchain/embedchain,limboinf,1
xitanggg/open-resume,xitanggg,15
xitanggg/open-resume,mahalel,2
xitanggg/open-resume,ShrootBuck,2
xitanggg/open-resume,azmy60,1
a16z-infra/ai-getting-started,ykhli,70
a16z-infra/ai-getting-started,timqian,16
a16z-infra/ai-getting-started,jenniferli23,3
a16z-infra/ai-getting-started,rajko-rad,3
a16z-infra/ai-getting-started,NirantK,1
a16z-infra/ai-getting-started,peterp,1
a16z-infra/ai-getting-started,zeke,1
a16z-infra/ai-getting-started,sragss,1
PKU-YuanGroup/ChatLaw,JessyTsu1,39
PKU-YuanGroup/ChatLaw,qqingzheng,14
PKU-YuanGroup/ChatLaw,eltociear,1
ChaoningZhang/MobileSAM,ChaoningZhang,121
ChaoningZhang/MobileSAM,qiaoyu1002,22
ChaoningZhang/MobileSAM,dhkim2810,8
ChaoningZhang/MobileSAM,dongshenhan,3
ChaoningZhang/MobileSAM,killian31,1
ChaoningZhang/MobileSAM,ksugar,1
Stability-AI/generative-models,timudk,9
Stability-AI/generative-models,rromb,3
Stability-AI/generative-models,pharmapsychotic,2
Stability-AI/generative-models,jenuk,2
Stability-AI/generative-models,ablattmann,1
Stability-AI/generative-models,balam125,1
Stability-AI/generative-models,brycedrennan,1
Stability-AI/generative-models,eltociear,1
Stability-AI/generative-models,patrickvonplaten,1
imgly/background-removal-js,DanielHauschildt,6
imgly/background-removal-js,keiwando,1
imgly/background-removal-js,lxfriday,1
ramonvc/freegpt-webui,ramonvc,133
ramonvc/freegpt-webui,eltociear,1
ramonvc/freegpt-webui,dependabot[bot],1
ramonvc/freegpt-webui,tiansztiansz,1
ramonvc/freegpt-webui,StudyingLover,1
SysCV/sam-hq,lkeab,36
SysCV/sam-hq,ymq2017,1
facebookresearch/ijepa,MidoAssran,1
alexbei/telegram-groups,alexbei,77
jetpack-io/typeid,loreto,22
jetpack-io/typeid,broothie,2
jetpack-io/typeid,Lagoja,2
jetpack-io/typeid,akhundMurad,2
jetpack-io/typeid,MMZK1526,2
jetpack-io/typeid,faustbrian,1
jetpack-io/typeid,conradludgate,1
jetpack-io/typeid,softprops,1
jetpack-io/typeid,fxlae,1
jetpack-io/typeid,Frizlab,1
jetpack-io/typeid,cbuctok,1
jetpack-io/typeid,TenCoKaciStromy,1
jetpack-io/typeid,JanWennrich,1
jetpack-io/typeid,tensorush,1
jetpack-io/typeid,sloanelybutsurely,1
jetpack-io/typeid,ongteckwu,1
